2024-10-17 02:49:43: ITM12NEO52RSW241010203326.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:43: ITM12NEO52RSW241011133403.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:44: PRM12NEO52RSW241011135109.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:44: ITM12NEO52RSW241011203211.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:44: ITM12NEO52RSW241012015630.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:44: ITM12NEO52RSW241012133544.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:45: ITM12NEO52RSW241012203208.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:45: ITM12NEO52RSW241014203237.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:45: ITM12NEO52RSW241015020219.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:46: ITM12NEO52RSW241015134029.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:46: ITM12NEO52RSW241015203208.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:46: ITM12NEO52RSW241016015856.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:46: ITM12NEO52RSW241016134143.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:47: PRM12NEO52RSW241016135015.json successfully integrated to Customer: Bara, Store: 03.
2024-10-17 02:49:47: ITM12NEO52RSW241016203322.json successfully integrated to Customer: Bara, Store: 03.
